TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TURNOVER,VOLATILITY
2019-11-13,25.45,26.9,24.84,26.71,0.008089777034010927,0.054178442251641805
2019-11-14,26.76,26.99,24.87,25.36,0.0050972092336467,0.0939021361345161
2019-11-15,25.63,26.2,25.19,25.55,0.004291972239996063,0.05803487167706831
2019-11-18,25.56,26.08,25.25,25.55,0.00512575675542649,0.00749205923250054
2019-11-19,25.96,29.24,25.96,28.44,0.015031746813013733,0.11311160012893832
2019-11-20,29.05,29.27,27.18,27.96,0.008179357188561304,0.12998928791273937
2019-11-21,28.21,29.02,27.61,28.26,0.005561844760545356,0.02760734279926887
2019-11-22,28.76,28.76,27.27,28.4,0.003751538120785549,0.005775678068739446
2019-11-25,28.44,28.9,28.09,28.55,0.004574494265885711,0.00032769983304235735
2019-11-26,28.33,30.0,28.29,28.88,0.00812718413151548,0.006276989858584959
2019-11-27,28.9,29.83,28.69,29.2,0.0049544716247477485,0.00047827842949060595
2019-11-29,28.93,29.18,28.1,28.56,0.0029640202785844367,0.032998240273075234
2019-12-02,28.71,28.89,26.29,27.68,0.006100310085150367,0.008894444057009133
2019-12-03,25.89,27.28,25.51,26.76,0.007075847812176995,0.0024247004882734513
2019-12-04,26.82,27.44,26.23,26.8,0.00471526308017916,0.034731727844046247
2019-12-05,26.65,27.11,26.35,26.85,0.00437564601072993,0.00037098316220120583
2019-12-06,27.03,28.69,26.77,28.01,0.005004675887188069,0.04133725882231077
2019-12-09,28.0,28.3,27.11,27.43,0.004471132549096816,0.06390986072232094
2019-12-10,25.83,26.5,24.75,26.1,0.016506373972535314,0.027780167141606197
2019-12-11,26.08,28.03,25.69,27.54,0.009144066545257666,0.10365948809357456
2019-12-12,28.01,28.48,26.67,27.04,0.03544913126938032,0.0733278431574202
2019-12-13,27.13,27.25,25.85,25.9,0.010812619973421273,0.02400440014329705
2019-12-16,26.41,27.29,25.83,26.56,0.007931289068267953,0.06764242981854314
2019-12-17,26.66,26.8,25.91,26.34,0.003973027513904612,0.03376572681058034
2019-12-18,26.28,26.56,25.87,25.93,0.004837328345720333,0.007282566847552634
2019-12-19,26.08,27.0,25.95,26.59,0.005941822119407393,0.04101881058495349
2019-12-20,26.77,26.84,26.0,26.26,0.0047664517399222325,0.03786381465988609
2019-12-23,26.36,26.7,25.33,26.57,0.008036619579662351,0.024215683982856635
2019-12-24,26.67,26.67,25.86,26.19,0.002828173450804745,0.026106818980002392
2019-12-26,26.01,26.19,24.75,24.86,0.011655264064576462,0.03648092479206501
2019-12-27,25.11,25.11,23.52,24.24,0.010717133435054389,0.025843042301873793
2019-12-30,24.14,24.28,23.25,24.08,0.0052094305261603585,0.018339041420426545
2019-12-31,24.01,25.12,23.86,25.06,0.006247969680563075,0.04729830937088207
2020-01-02,25.3,25.46,24.31,25.22,0.005821725648471723,0.03431298471452928
2020-01-03,24.6,25.45,24.53,25.16,0.004768420534527735,0.008763713946451658
2020-01-06,25.01,25.31,24.41,25.04,0.004454397794950042,0.002390389810176572
2020-01-07,25.17,26.25,24.52,25.65,0.007255008121277748,0.02913040261023474
2020-01-08,25.53,26.35,25.39,26.08,0.007460747157552789,0.007596824975894343
